Rule_ID,Raw_Text,Antecedent_Text
65,"frozenset({'Mint Sauce'}),""frozenset({'Onion Chutney', 'Plain Papadum', 'Red Sauce'})"",0.10920355303426141,0.01948197357617377,0.015078002537881616,0.13807245386192754,7.087190285012426,0.012950501803243844,1.1375875278810927,0.964193742149479",Mint Sauce
66,"frozenset({'Onion Chutney', 'Plain Papadum', 'Red Sauce'}),frozenset({'Mint Sauce'}),0.01948197357617377,0.10920355303426141,0.015078002537881616,0.7739463601532567,7.087190285012426,0.012950501803243844,3.940641909458606,0.8759659042944489",Onion Chutney + Plain Papadum + Red Sauce
67,"frozenset({'Plain Papadum', 'Mint Sauce', 'Onion Bhajee'}),frozenset({'Onion Chutney'}),0.022019855191460776,0.07703217138165261,0.011868328730312757,0.5389830508474577,6.996856523452898,0.010172091471404979,2.0020258047236212,0.876376356195079",Plain Papadum + Mint Sauce + Onion Bhajee
68,"frozenset({'Onion Chutney'}),""frozenset({'Plain Papadum', 'Mint Sauce', 'Onion Bhajee'})"",0.07703217138165261,0.022019855191460776,0.011868328730312757,0.15406976744186046,6.996856523452896,0.010172091471404979,1.1561002399111255,0.928611647300277",Onion Chutney
69,"frozenset({'Red Sauce', 'Mango Chutney'}),""frozenset({'Plain Papadum', 'Mint Sauce'})"",0.02515488542210943,0.08083899380458312,0.014182279614839144,0.5637982195845698,6.974334947160186,0.012148783988046242,2.1071922386928947,0.8787212863705973",Red Sauce + Mango Chutney
70,"frozenset({'Plain Papadum', 'Mint Sauce'}),""frozenset({'Red Sauce', 'Mango Chutney'})"",0.08083899380458312,0.02515488542210943,0.014182279614839144,0.17543859649122806,6.974334947160185,0.012148783988046242,1.1822589687433993,0.9319554978073737",Plain Papadum + Mint Sauce
71,"frozenset({'Plain Papadum', 'Red Sauce'}),""frozenset({'Mint Sauce', 'Mango Chutney'})"",0.03784429349854445,0.05374337538254833,0.014182279614839144,0.3747534516765286,6.973016655708964,0.012148399543259535,1.5134135920537792,0.8902821444612307",Plain Papadum + Red Sauce
72,"frozenset({'Mint Sauce', 'Mango Chutney'}),""frozenset({'Plain Papadum', 'Red Sauce'})"",0.05374337538254833,0.03784429349854445,0.014182279614839144,0.2638888888888889,6.973016655708964,0.012148399543259535,1.3070794503416,0.9052407385111039",Mint Sauce + Mango Chutney
73,"frozenset({'Mint Sauce', 'Mango Chutney'}),""frozenset({'Onion Chutney', 'Pilau Rice'})"",0.05374337538254833,0.03142494588340673,0.011719041576472345,0.21805555555555559,6.938931776194248,0.01003015891348415,1.238675024802748,0.9044962816957739",Mint Sauce + Mango Chutney
74,"frozenset({'Onion Chutney', 'Pilau Rice'}),""frozenset({'Mint Sauce', 'Mango Chutney'})"",0.03142494588340673,0.05374337538254833,0.011719041576472345,0.37292161520190026,6.938931776194247,0.01003015891348415,1.5089925718331332,0.8836543898780306",Onion Chutney + Pilau Rice
75,"frozenset({'Onion Chutney', 'Pilau Rice'}),frozenset({'Red Sauce'}),0.03142494588340673,0.049637978651937004,0.010823318653429873,0.3444180522565321,6.938599467790617,0.009263447860531054,1.449646416621502,0.883647263914282",Onion Chutney + Pilau Rice
76,"frozenset({'Red Sauce'}),""frozenset({'Onion Chutney', 'Pilau Rice'})"",0.049637978651937004,0.03142494588340673,0.010823318653429873,0.21804511278195488,6.938599467790616,0.009263447860531054,1.2386584826683358,0.9005817543631577",Red Sauce
77,"frozenset({'Onion Chutney', 'Mango Chutney'}),frozenset({'Red Sauce'}),0.04366649249832052,0.049637978651937004,0.014704784653280584,0.3367521367521367,6.784162971531392,0.012537268230843984,1.432891191980971,0.8915277713945207",Onion Chutney + Mango Chutney
78,"frozenset({'Red Sauce'}),""frozenset({'Onion Chutney', 'Mango Chutney'})"",0.049637978651937004,0.04366649249832052,0.014704784653280584,0.29624060150375936,6.784162971531392,0.012537268230843984,1.3588926976252496,0.8971295795716776",Red Sauce
79,"frozenset({'Onion Chutney', 'Plain Papadum'}),frozenset({'Red Sauce'}),0.0582966335746809,0.049637978651937004,0.01948197357617377,0.33418693982074266,6.732484861321036,0.016588246523313966,1.4273706512939177,0.9041769011921855",Onion Chutney + Plain Papadum
80,"frozenset({'Red Sauce'}),""frozenset({'Onion Chutney', 'Plain Papadum'})"",0.049637978651937004,0.0582966335746809,0.01948197357617377,0.3924812030075188,6.732484861321036,0.016588246523313966,1.5500810363189041,0.8959390343575725",Red Sauce
81,"frozenset({'Onion Chutney', 'Plain Papadum'}),""frozenset({'Mint Sauce', 'Mango Chutney'})"",0.0582966335746809,0.05374337538254833,0.021049488691498097,0.36107554417413573,6.71851259069569,0.01791643082975515,1.4810148774072742,0.9038488781553986",Onion Chutney + Plain Papadum
82,"frozenset({'Mint Sauce', 'Mango Chutney'}),""frozenset({'Onion Chutney', 'Plain Papadum'})"",0.05374337538254833,0.0582966335746809,0.021049488691498097,0.39166666666666666,6.718512590695689,0.01791643082975515,1.5480055338498395,0.899499680272029",Mint Sauce + Mango Chutney
83,"frozenset({'Plain Papadum', 'Red Sauce'}),frozenset({'Onion Chutney'}),0.03784429349854445,0.07703217138165261,0.01948197357617377,0.5147928994082841,6.682829916058897,0.016566745473576335,1.9022141833719601,0.8838099569299912",Plain Papadum + Red Sauce
84,"frozenset({'Onion Chutney'}),""frozenset({'Plain Papadum', 'Red Sauce'})"",0.07703217138165261,0.03784429349854445,0.01948197357617377,0.25290697674418605,6.682829916058896,0.016566745473576335,1.2878660040330767,0.921335248267496",Onion Chutney
85,"frozenset({'Plain Papadum', 'Mint Sauce'}),""frozenset({'Red Sauce', 'Pilau Rice'})"",0.08083899380458312,0.02172128088377995,0.011719041576472345,0.14496768236380425,6.673993266762493,0.009963115085680848,1.1441423896359246,0.924935524683727",Plain Papadum + Mint Sauce
86,"frozenset({'Red Sauce', 'Pilau Rice'}),""frozenset({'Plain Papadum', 'Mint Sauce'})"",0.02172128088377995,0.08083899380458312,0.011719041576472345,0.5395189003436426,6.673993266762492,0.009963115085680848,1.9960884537527335,0.8690413589924779",Red Sauce + Pilau Rice
87,"frozenset({'Plain Papadum', 'Red Sauce'}),""frozenset({'Mint Sauce', 'Pilau Rice'})"",0.03784429349854445,0.04642830484436814,0.011719041576472345,0.3096646942800789,6.669739403971411,0.009961995181302185,1.3813167126968726,0.8835047165382734",Plain Papadum + Red Sauce
88,"frozenset({'Mint Sauce', 'Pilau Rice'}),""frozenset({'Plain Papadum', 'Red Sauce'})"",0.04642830484436814,0.03784429349854445,0.011719041576472345,0.252411575562701,6.669739403971411,0.009961995181302185,1.2870125794492588,0.891457987959166",Mint Sauce + Pilau Rice
89,"frozenset({'Plain Papadum', 'Mint Sauce'}),""frozenset({'Onion Chutney', 'Onion Bhajee'})"",0.08083899380458312,0.02209449876838098,0.011868328730312757,0.14681440443213298,6.644839784382722,0.010082231681260238,1.1461814478721248,0.9242203229335532",Plain Papadum + Mint Sauce
90,"frozenset({'Onion Chutney', 'Onion Bhajee'}),""frozenset({'Plain Papadum', 'Mint Sauce'})"",0.02209449876838098,0.08083899380458312,0.011868328730312757,0.5371621621621622,6.644839784382721,0.010082231681260238,1.9859245097360831,0.8687007905200957",Onion Chutney + Onion Bhajee
91,"frozenset({'Mint Sauce'}),""frozenset({'Onion Chutney', 'Red Sauce', 'Mango Chutney'})"",0.10920355303426141,0.014704784653280584,0.010524744345749048,0.09637730690362269,6.554146094354484,0.00891892961500713,1.090383434230144,0.9513114089668117",Mint Sauce
92,"frozenset({'Onion Chutney', 'Red Sauce', 'Mango Chutney'}),frozenset({'Mint Sauce'}),0.014704784653280584,0.10920355303426141,0.010524744345749048,0.7157360406091371,6.554146094354484,0.00891892961500713,3.133694643790188,0.8600719965613585",Onion Chutney + Red Sauce + Mango Chutney
93,"frozenset({'Onion Chutney', 'Mango Chutney'}),""frozenset({'Plain Papadum', 'Mint Sauce', 'Pilau Rice'})"",0.04366649249832052,0.038366798536985894,0.010897962230350078,0.24957264957264957,6.504912035651335,0.009222618709850208,1.2814474324734926,0.8849109781497654",Onion Chutney + Mango Chutney
94,"frozenset({'Plain Papadum', 'Mint Sauce', 'Pilau Rice'}),""frozenset({'Onion Chutney', 'Mango Chutney'})"",0.038366798536985894,0.04366649249832052,0.010897962230350078,0.2840466926070039,6.504912035651335,0.009222618709850208,1.3357484316735413,0.8800341110032441",Plain Papadum + Mint Sauce + Pilau Rice
95,"frozenset({'Onion Chutney'}),""frozenset({'Red Sauce', 'Pilau Rice'})"",0.07703217138165261,0.02172128088377995,0.010823318653429873,0.14050387596899225,6.468489437651509,0.009150081221761521,1.1382002684644184,0.9159630213199103",Onion Chutney
96,"frozenset({'Red Sauce', 'Pilau Rice'}),frozenset({'Onion Chutney'}),0.02172128088377995,0.07703217138165261,0.010823318653429873,0.49828178694158076,6.468489437651509,0.009150081221761521,1.8396139597804047,0.8641753974226072",Red Sauce + Pilau Rice
